url_domain,max_interactions,n_users_exposed
wsj.com,2297,7
cnn.com,1173,5
ajc.com,1151,4
nytimes.com,32175,2
cnbc.com,6321,2
washingtonpost.com,5478,2
thehill.com,2043,2
msnbc.com,1564,2
